epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.085,1.2308,2.3915,1.21206,0.84343,0.29316,0.71512,0.57007,1.11346,2.15552,1.07475,0.000466807,0.000466807,0.000466807
2,366.52,1.09921,1.34284,1.1364,0.77751,0.81384,0.82462,0.66562,1.04262,1.34364,1.10348,0.000924466,0.000924466,0.000924466
3,576.809,1.08999,1.18388,1.13102,0.84049,0.83795,0.84156,0.67883,0.9884,1.20748,1.05579,0.00136326,0.00136326,0.00136326
4,844.09,1.06112,1.15292,1.12198,0.86191,0.84222,0.85313,0.7047,0.93869,1.14694,1.05305,0.00134412,0.00134412,0.00134412
5,1060.28,1.04486,1.10019,1.12224,0.84588,0.84082,0.85314,0.71121,0.89287,1.17333,1.0329,0.00131582,0.00131582,0.00131582
6,1258.7,1.00835,1.10092,1.1051,0.85863,0.86612,0.87223,0.71876,0.90043,1.03151,1.04569,0.00128753,0.00128753,0.00128753
7,1465.49,1.03916,1.03415,1.10796,0.85774,0.86186,0.87322,0.7384,0.85406,1.05494,1.01645,0.00125923,0.00125923,0.00125923
8,1676.54,0.99124,1.01093,1.08689,0.87356,0.85565,0.88059,0.73098,0.84893,0.97013,1.02581,0.00123094,0.00123094,0.00123094
9,1884.34,0.98588,0.97115,1.09189,0.87277,0.8582,0.87743,0.73608,0.84358,0.99315,1.02412,0.00120265,0.00120265,0.00120265
10,2085.51,0.94789,0.93957,1.07883,0.8805,0.85758,0.88731,0.74636,0.81974,0.92756,1.00993,0.00117435,0.00117435,0.00117435
11,2265.7,0.95435,0.94486,1.08524,0.87725,0.8628,0.88686,0.75038,0.80805,0.91719,1.0028,0.00114606,0.00114606,0.00114606
12,2426.17,0.94289,0.93141,1.06482,0.88852,0.86358,0.89308,0.76398,0.80225,0.88567,1.00094,0.00111776,0.00111776,0.00111776
13,2581.03,0.92972,0.92142,1.06954,0.87626,0.8694,0.89277,0.77,0.78103,0.89041,0.98814,0.00108947,0.00108947,0.00108947
14,2737,0.94504,0.93153,1.07437,0.88144,0.86825,0.89881,0.76228,0.78913,0.85294,0.99733,0.00106118,0.00106118,0.00106118
15,2898.77,0.92528,0.89386,1.07029,0.88692,0.86891,0.89906,0.76478,0.79664,0.83846,0.99052,0.00103288,0.00103288,0.00103288
16,3051.57,0.90428,0.87943,1.04636,0.88231,0.86732,0.89808,0.77298,0.77406,0.84067,0.98708,0.00100459,0.00100459,0.00100459
17,3204.87,0.89717,0.88028,1.05857,0.87359,0.87441,0.89451,0.77182,0.7548,0.87348,0.9751,0.000976293,0.000976293,0.000976293
18,3355.86,0.87909,0.83939,1.04465,0.88932,0.87207,0.90317,0.78481,0.74749,0.7997,0.97805,0.000947999,0.000947999,0.000947999
19,3515.84,0.88558,0.82632,1.04398,0.88197,0.87815,0.901,0.77731,0.7537,0.84561,0.9764,0.000919704,0.000919704,0.000919704
20,3666.45,0.88016,0.83202,1.0458,0.89117,0.88135,0.90962,0.78343,0.73936,0.79298,0.96927,0.00089141,0.00089141,0.00089141
21,3816.99,0.86057,0.81384,1.03339,0.89526,0.88579,0.91479,0.79939,0.73571,0.77351,0.96763,0.000863116,0.000863116,0.000863116
22,3977.84,0.87755,0.82369,1.04355,0.88861,0.8847,0.90839,0.78664,0.74543,0.79433,0.97939,0.000834822,0.000834822,0.000834822
23,4136.51,0.85578,0.80872,1.04147,0.8933,0.8741,0.90525,0.78297,0.73252,0.77751,0.97308,0.000806528,0.000806528,0.000806528
24,4292.11,0.85768,0.78736,1.03665,0.88837,0.88439,0.91,0.79782,0.715,0.74468,0.96289,0.000778233,0.000778233,0.000778233
25,4449.4,0.83528,0.78747,1.02302,0.90068,0.88294,0.91366,0.80295,0.70598,0.73979,0.95757,0.000749939,0.000749939,0.000749939
26,4609.1,0.83598,0.76833,1.02447,0.90167,0.88135,0.91492,0.80355,0.70348,0.73461,0.95877,0.000721645,0.000721645,0.000721645
27,4766.87,0.86101,0.7897,1.03616,0.90215,0.88041,0.91604,0.79469,0.71793,0.73743,0.96552,0.000693351,0.000693351,0.000693351
28,4925.4,0.84952,0.75253,1.0285,0.90492,0.88852,0.92211,0.80824,0.69927,0.70072,0.94969,0.000665057,0.000665057,0.000665057
29,5081.3,0.82919,0.77083,1.02978,0.91114,0.88813,0.92329,0.81987,0.67334,0.69297,0.94869,0.000636762,0.000636762,0.000636762
30,5237.89,0.83657,0.78732,1.03052,0.90311,0.88603,0.92041,0.81166,0.68229,0.69443,0.95566,0.000608468,0.000608468,0.000608468
31,5393.49,0.8524,0.74865,1.02948,0.91604,0.88485,0.92639,0.81676,0.68044,0.67062,0.94628,0.000580174,0.000580174,0.000580174
32,5551.64,0.82793,0.73954,1.01463,0.91385,0.88984,0.92909,0.81336,0.68438,0.65741,0.94139,0.00055188,0.00055188,0.00055188
33,5707.33,0.81436,0.73344,1.02177,0.9177,0.88784,0.92722,0.82306,0.6715,0.69703,0.94371,0.000523586,0.000523586,0.000523586
34,5859.76,0.81033,0.74829,1.01968,0.91833,0.89148,0.92988,0.82894,0.65227,0.64815,0.93686,0.000495291,0.000495291,0.000495291
35,6017.84,0.8073,0.71918,1.01301,0.90968,0.89935,0.92938,0.82425,0.6583,0.64601,0.93634,0.000466997,0.000466997,0.000466997
36,6176.07,0.79238,0.73023,1.01202,0.91494,0.88906,0.93097,0.83212,0.64899,0.64258,0.93202,0.000438703,0.000438703,0.000438703
37,6328.45,0.82549,0.72587,1.0216,0.91915,0.89498,0.93264,0.83057,0.65177,0.65702,0.9347,0.000410409,0.000410409,0.000410409
38,6485.06,0.78387,0.69053,0.99762,0.91953,0.89647,0.93437,0.83661,0.64606,0.62776,0.92868,0.000382115,0.000382115,0.000382115
39,6637.45,0.78149,0.69661,1.00111,0.92693,0.89631,0.937,0.83809,0.64212,0.61614,0.92822,0.00035382,0.00035382,0.00035382
40,6793.69,0.79096,0.68677,1.00335,0.92611,0.89842,0.93701,0.84276,0.62409,0.5961,0.92124,0.000325526,0.000325526,0.000325526
41,6945.3,0.73787,0.69047,0.96891,0.92928,0.89343,0.93417,0.83256,0.63959,0.60836,0.92636,0.000297232,0.000297232,0.000297232
42,7098.3,0.72813,0.65581,0.98382,0.93067,0.89405,0.93507,0.8363,0.63878,0.6038,0.92539,0.000268938,0.000268938,0.000268938
43,7249.74,0.70726,0.65613,0.97242,0.93309,0.89974,0.93861,0.84231,0.62549,0.59803,0.91823,0.000240644,0.000240644,0.000240644
