epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.594,1.2308,2.3915,1.21206,0.84343,0.29316,0.71512,0.57007,1.11346,2.15552,1.07475,0.000466807,0.000466807,0.000466807
2,340.721,1.10459,1.34483,1.13605,0.76026,0.81482,0.8187,0.65457,1.05871,1.3581,1.10661,0.000912016,0.000912016,0.000912016
3,506.877,1.08679,1.18571,1.1261,0.8431,0.83649,0.84535,0.68706,0.99553,1.21292,1.05274,0.00132579,0.00132579,0.00132579
4,672.364,1.06553,1.15298,1.1222,0.85577,0.83739,0.85186,0.6989,0.96957,1.19599,1.06748,0.00128753,0.00128753,0.00128753
5,836.722,1.05478,1.10887,1.1235,0.8397,0.83349,0.84545,0.7008,0.88993,1.137,1.02789,0.00124037,0.00124037,0.00124037
6,999.127,1.00617,1.09583,1.10142,0.85937,0.86365,0.86521,0.72073,0.88908,1.0487,1.04573,0.00119322,0.00119322,0.00119322
7,1164.31,1.02771,1.0254,1.10274,0.86563,0.85516,0.87231,0.74016,0.84322,1.04869,1.01674,0.00114606,0.00114606,0.00114606
8,1325.67,0.98423,1.00052,1.08355,0.87739,0.8557,0.88282,0.75075,0.81552,0.94643,1.00741,0.0010989,0.0010989,0.0010989
9,1490.22,0.96403,0.96368,1.08333,0.86562,0.85539,0.88027,0.7381,0.84015,0.97456,1.01299,0.00105174,0.00105174,0.00105174
10,1651.08,0.94252,0.92325,1.07426,0.87748,0.86793,0.88851,0.7535,0.79131,0.92447,0.99907,0.00100459,0.00100459,0.00100459
11,1810.24,0.94093,0.93106,1.07639,0.87813,0.86662,0.88951,0.76004,0.78964,0.90863,0.99557,0.00095743,0.00095743,0.00095743
12,1965.37,0.93353,0.91923,1.0581,0.88429,0.86981,0.89461,0.76861,0.77884,0.88061,0.99108,0.000910273,0.000910273,0.000910273
13,2119.74,0.91375,0.90739,1.06142,0.88711,0.87053,0.89793,0.77489,0.76852,0.8634,0.98174,0.000863116,0.000863116,0.000863116
14,2273.77,0.9168,0.91469,1.06236,0.88599,0.87425,0.89946,0.77237,0.7701,0.85067,0.98725,0.000815959,0.000815959,0.000815959
15,2428.01,0.90641,0.87745,1.06353,0.88967,0.87807,0.90219,0.77413,0.75617,0.82788,0.98045,0.000768802,0.000768802,0.000768802
16,2572.76,0.89151,0.86485,1.04025,0.89055,0.86563,0.90277,0.78459,0.75222,0.83816,0.97805,0.000721645,0.000721645,0.000721645
17,2725.3,0.871,0.85935,1.04769,0.88138,0.87238,0.90071,0.78794,0.73141,0.85216,0.97049,0.000674488,0.000674488,0.000674488
18,2879.15,0.8554,0.83202,1.03417,0.89421,0.87613,0.90829,0.79248,0.72608,0.79112,0.96932,0.000627331,0.000627331,0.000627331
19,3028.96,0.86017,0.82881,1.03364,0.89248,0.87745,0.90621,0.79144,0.71449,0.82945,0.9623,0.000580174,0.000580174,0.000580174
20,3184.58,0.84945,0.83216,1.03548,0.88858,0.88111,0.90703,0.7908,0.70586,0.77523,0.958,0.000533017,0.000533017,0.000533017
21,3336.23,0.79851,0.83298,1.01857,0.90157,0.87607,0.91275,0.79695,0.71326,0.78156,0.96165,0.00048586,0.00048586,0.00048586
22,3487.94,0.79604,0.79958,1.02174,0.90551,0.87997,0.91605,0.79909,0.71069,0.76021,0.95628,0.000438703,0.000438703,0.000438703
23,3639.81,0.79419,0.79118,1.00383,0.90483,0.88478,0.91546,0.80144,0.70308,0.75184,0.95571,0.000391546,0.000391546,0.000391546
24,3810.44,0.77685,0.79501,1.00703,0.90123,0.88423,0.91858,0.8128,0.67783,0.71413,0.94827,0.000344389,0.000344389,0.000344389
25,3998.02,0.75069,0.75254,0.98567,0.90803,0.88743,0.92255,0.8115,0.68626,0.72314,0.94605,0.000297232,0.000297232,0.000297232
26,4182.61,0.75404,0.74007,0.99609,0.90724,0.89239,0.92517,0.81939,0.67172,0.69486,0.9423,0.000250075,0.000250075,0.000250075
27,4381.48,0.74437,0.72354,0.98577,0.91261,0.89194,0.92611,0.82289,0.66181,0.68176,0.93905,0.000202918,0.000202918,0.000202918
28,4570.14,0.74704,0.71602,0.99073,0.91434,0.89304,0.92821,0.82789,0.65497,0.66681,0.93593,0.000155761,0.000155761,0.000155761
29,4765.22,0.72856,0.69703,0.98363,0.91771,0.89541,0.92976,0.83034,0.64731,0.65864,0.93353,0.000108604,0.000108604,0.000108604
30,4957.99,0.73065,0.70301,0.98485,0.92005,0.896,0.93088,0.83076,0.64334,0.65317,0.93071,6.1447e-05,6.1447e-05,6.1447e-05
